dataset_id,name,meta_url,createdDate,updatedDate,relevanceDate,header_url,data_url,view_count,download_count
6500005657_tablica_dohodov_budgeta,форма_0503317M_таблица_Доходы бюджета,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=5,05.12.2016,31.08.2017,26.09.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_dohodov_budgeta/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_dohodov_budgeta/structure-2017-08-31T00-00.csv,446,2550
6500005657_tablica_rashodov,форма_0503317M_таблица_Расходы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=6,05.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_rashodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_rashodov/structure-2017-08-31T00-00.csv,340,1912
6500005657_tablica_istochniki_finasirovaniya,форма_0503317M_таблица_Источники финансирования,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=7,05.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_istochniki_finasirovaniya/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_istochniki_finasirovaniya/structure-2017-08-31T00-00.csv,487,1917
6500005657_tablica_konsolidiruemih_raschetov,форма_0503317M_таблица_Таблица консолидируемых расчетов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=8,05.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_konsolidiruemih_raschetov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_konsolidiruemih_raschetov/structure-2017-08-31T00-00.csv,335,2148
6500005657_realizacia_ukazov_prezidenta_RF,Реализация Указов Президента РФ (по мероприятиям и источникам),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=20,30.12.2016,30.12.2016,30.12.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_realizacia_ukazov_prezidenta_RF/data-2016-12-30T00-00-structure-.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_realizacia_ukazov_prezidenta_RF/structure-2016-12-30T00-00.csv,494,1178
6500005657_prognoz_postupleniya_dohodov_na_period_2018_2020,Прогноз поступления доходов на период 2018-2020 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=21,31.10.2017,31.10.2017,31.10.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_prognoz_postupleniya_dohodov_na_period_2018_2020/data-2017-10-31T00-00-structure-2017-10-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_prognoz_postupleniya_dohodov_na_period_2018_2020/structure-2017-10-31T00-00.csv,713,1806
6500005657_functional_structure_expenditures_na_period_2018_2020,Функциональная структура расходов областного бюджета на период 2018-2020 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=22,08.11.2017,08.11.2017,08.11.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2018_2020/data-2017-11-09T00-00-structure-.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2018_2020/structure-2017-11-09T00-00.csv,583,1759
6500005657_budget_assign_2018_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на 2018 год",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=28,15.11.2017,15.11.2017,15.11.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_2018_gov_support/data-2017-11-15T00-00-structure-2017-11-15T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_2018_gov_support/structure-2017-11-15T00-00.csv,717,1574
6500005657_prognoz_postupleniya_dohodov_na_period_2019_2021,Прогноз поступлений доходов на 2019-2021 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=30,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_prognoz_postupleniya_dohodov_na_period_2019_2021/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_prognoz_postupleniya_dohodov_na_period_2019_2021/structure-2018-12-24T00-00.csv,227,1009
6500005657_budget_assign_2020_2021_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на плановый период 2020 и 2021 годов",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=34,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2020_2021_gov_support/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2020_2021_gov_support/structure-2018-12-24T00-00.csv,240,999
6500005657_functional_structure_expenditures_na_2019,Функциональная структура расходов областного бюджета на 2019 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=36,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_2019/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_2019/structure-2018-12-24T00-00.csv,211,967
6500005657_cassa_plan_2015_2016,"Сведения об использовании средств областного и федерального бюджетов, юридических и физических лиц на реализацию мероприятий государственной программы",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=9,05.12.2016,29.12.2016,29.12.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_cassa_plan_2015_2016/data-2017-02-07T00-00-structure-2016-12-06T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_cassa_plan_2015_2016/structure-2016-12-06T00-00.csv,349,1389
